,startClusterID,endClusterID,num,eLongitude,eLatitude,sLongitude,sLatitude
2458,15,136,3.271523178807947,40.6665577,-73.98519274833333,40.67587495146559,-74.01303344008396
2459,15,138,5.7604790419161676,40.677042725,-73.998173155,40.67587495146559,-74.01303344008396
2460,15,139,1.3333333333333333,40.73810274068081,-74.00611985380249,40.67587495146559,-74.01303344008396
2461,15,140,1.375,40.7042664,-73.928828,40.67587495146559,-74.01303344008396
2462,15,141,1.9333333333333333,40.7106898787936,-73.96323245329229,40.67587495146559,-74.01303344008396
2463,15,143,1.3529411764705883,40.714582756,-73.987511564,40.67587495146559,-74.01303344008396
2464,15,144,1.0,40.77672394436454,-73.9607838459192,40.67587495146559,-74.01303344008396
2465,15,145,1.574468085106383,40.68678022,-73.95944367666667,40.67587495146559,-74.01303344008396
2466,15,146,1.1304347826086956,40.68178648981446,-73.9491656927736,40.67587495146559,-74.01303344008396
2467,15,147,1.0,40.761171035,-73.9982279425,40.67587495146559,-74.01303344008396
2468,15,148,6.5843373493975905,40.68553558333333,-74.00251161,40.67587495146559,-74.01303344008396
2469,15,149,1.105263157894737,40.73507724,-73.992925482,40.67587495146559,-74.01303344008396
2470,15,150,1.5,40.75076837098656,-74.0023062415792,40.67587495146559,-74.01303344008396
2471,15,151,2.9689922480620154,40.6771856,-73.98308581500001,40.67587495146559,-74.01303344008396
2472,15,152,1.6341463414634145,40.7277977,-73.98624971571428,40.67587495146559,-74.01303344008396
2473,15,153,1.08,40.68239953333333,-73.93352303333334,40.67587495146559,-74.01303344008396
2474,15,154,1.1111111111111112,40.71240519,-73.9980588925,40.67587495146559,-74.01303344008396
2475,15,155,1.5416666666666667,40.7213500586593,-73.95034936584419,40.67587495146559,-74.01303344008396
2476,15,156,1.5789473684210527,40.6942910375,-73.9461926925,40.67587495146559,-74.01303344008396
2477,15,159,2.0,40.78941792888304,-73.95263690614655,40.67587495146559,-74.01303344008396
2478,15,160,1.0909090909090908,40.74324973718685,-73.98859936948772,40.67587495146559,-74.01303344008396
2479,15,161,1.7,40.68578366115085,-73.96485794444588,40.67587495146559,-74.01303344008396
2480,15,162,1.0,40.77569089666667,-73.98341909,40.67587495146559,-74.01303344008396
2481,15,164,1.7358490566037736,40.7117964525,-74.004627615,40.67587495146559,-74.01303344008396
2482,15,166,1.3333333333333333,40.692941842691816,-73.95923700766852,40.67587495146559,-74.01303344008396
2483,15,167,1.0,40.76042178259135,-73.97819957896856,40.67587495146559,-74.01303344008396
2484,15,168,1.4642857142857142,40.68365497,-73.95389965,40.67587495146559,-74.01303344008396
2485,15,170,1.4583333333333333,40.67251373333333,-73.96239186666666,40.67587495146559,-74.01303344008396
2486,15,171,1.0,40.74759201799568,-73.9436688963086,40.67587495146559,-74.01303344008396
2487,15,173,1.5217391304347827,40.71693382690842,-73.95797341152061,40.67587495146559,-74.01303344008396
2488,15,174,1.4,40.731852795,-73.974861405,40.67587495146559,-74.01303344008396
2489,15,175,1.1428571428571428,40.69739375,-73.92772525000001,40.67587495146559,-74.01303344008396
2490,15,176,2.0,40.68300513333333,-73.98387443666667,40.67587495146559,-74.01303344008396
2491,15,177,1.0,40.703429,-73.91995916666667,40.67587495146559,-74.01303344008396
2492,15,178,1.4,40.753033954,-73.96815855599999,40.67587495146559,-74.01303344008396
2493,15,179,1.28,40.72336790917151,-73.99679951680626,40.67587495146559,-74.01303344008396
2494,15,182,1.1538461538461537,40.711246675,-73.992967205,40.67587495146559,-74.01303344008396
2495,15,183,7.89375,40.700536086666666,-73.99549821333333,40.67587495146559,-74.01303344008396
2496,15,186,1.4,40.7255330625,-73.976127615,40.67587495146559,-74.01303344008396
